Date,Alpha Hart Lewis,Blue Ridge,Cedar Ridge,Derby Ridge,Fairview,John Ridgeway,Mary Paxton Keeley,Midway Heights,New Haven,Parkade,Rock Bridge,Shepard Blvd.,Thomas Benton,Two Mile Prairie,West Blvd.
1992,,538,209,429,776,264,,321,236,698,607,513,312,271,457
1993,,543,197,451,833,265,,336,237,627,620,548,320,266,469
1994,,515,206,525,875,272,,348,286,614,633,563,310,274,450
1995,,509,203,543,905,276,,348,260,588,574,574,254,295,441
1996,,434,177,519,819,248,,319,279,510,555,478,296,257,381
1997,,390,173,559,819,252,,307,265,553,570,477,291,231,351
1998,,428,159,597,831,263,,343,285,520,544,424,315,223,347
1999,,424,194,589,841,256,,326,327,486,518,456,285,241,312
2000,,451,188,628,865,253,,316,296,491,504,449,273,226,306
2001,,432,202,605,879,244,,300,301,452,492,446,272,241,304
2002,,485,200,648,904,242,,262,306,447,439,446,283,228,313
2003,,488,199,641,524,242,573,250,291,417,444,450,275,264,309
2004,,487,172,635,499,240,647,224,303,397,370,438,271,262,311
2005,,508,174,687,518,244,655,252,291,409,399,465,236,239,274
2006,,506,188,710,549,239,656,275,300,449,425,467,251,258,280
2007,,516,183,715,538,231,687,268,303,470,438,466,279,282,275
2008,,511,164,725,558,228,690,267,320,473,493,545,262,309,287
2009,,555,177,705,542,231,696,265,308,551,476,541,279,325,305
2010,,543,198,688,555,259,687,291,325,534,508,587,253,323,333
2011,744,446,200,552,557,261,702,298,329,457,525,515,252,334,372
2012,700,478,192,568,561,251,649,314,302,463,563,549,294,366,386
2013,658,512,193,552,565,243,682,268,287,527,594,598,299,334,375
2014,641,506,184,587,594,242,690,268,304,503,620,618,307,331,380
2015,751,522,197,549,599,238,736,274,300,466,627,587,316,339,392
